Year,Month,Feeder,Earth_Fault,Over_Current,Planned,Emergency,Total,L_G_Fault,L_L_Fault,L_L_G_Fault,LLL_LLLG_Fault,Open_Circuits,Insulation_Failure,Fault_Location_km,Fault_Duration_s,Weather_Factor
2017,January,Agbor,20,3,2,2,28,16,1,1,1,0,4,48.7,0.2,0.2
2017,January,Agenebode,15,3,2,1,24,12,1,1,1,0,3,33.1,0.2,0.2
2017,January,Ehor,19,4,2,3,30,15,2,2,2,1,4,8.3,0.1,0.2
2017,January,Ubiaja,6,7,2,1,19,5,3,3,1,2,1,28.1,0.5,0.2
2017,January,Uzebba,17,0,1,2,22,13,0,0,2,0,3,47.1,0.3,0.2
2017,February,Agbor,21,4,2,0,28,17,2,2,0,1,4,0.3,0.3,0.2
2017,February,Agenebode,16,7,1,2,30,13,3,3,2,2,3,27.6,0.3,0.2
2017,February,Ehor,13,11,2,1,31,10,5,5,1,2,2,46.2,3600,0.2
2017,February,Ubiaja,11,4,2,2,24,9,2,2,2,3,2,46.8,0.5,0.2
2017,February,Uzebba,25,5,2,3,36,20,2,2,3,0,5,12.2,86400,0.2
2017,March,Agbor,21,7,1,0,32,17,3,3,0,2,4,47.7,0.2,0.2
2017,March,Agenebode,22,7,1,0,34,17,3,3,0,4,4,40.5,3600,0.2
2017,March,Ehor,31,8,1,0,41,25,4,4,0,0,6,15.2,0.3,0.2
2017,March,Ubiaja,11,0,2,0,14,9,0,0,0,0,2,8.7,0.1,0.2
2017,March,Uzebba,19,8,2,0,30,15,4,4,0,0,3,4.7,0.2,0.2
2017,April,Agbor,22,4,2,1,30,17,2,2,1,0,4,29.3,7200,0.2
2017,April,Agenebode,17,10,1,0,31,14,5,5,0,2,3,17,0.2,0.2
2017,April,Ehor,16,6,2,2,29,13,3,3,2,2,3,41.3,0.2,0.2
2017,April,Ubiaja,18,4,1,3,33,15,2,2,3,5,4,11.1,0.2,0.2
2017,April,Uzebba,20,4,1,0,27,16,2,2,0,0,4,5.9,0.1,0.2
2017,May,Agbor,21,5,2,2,31,17,2,2,2,0,4,8.3,0.2,0.2
2017,May,Agenebode,36,0,2,2,45,28,0,0,2,4,7,8.1,7200,0.2
2017,May,Ehor,24,1,1,2,32,19,0,0,2,2,5,1.8,0.1,0.2
2017,May,Ubiaja,22,1,2,0,27,18,0,0,0,1,4,26,0.5,0.2
2017,May,Uzebba,28,6,1,6,43,22,3,3,6,1,6,36.3,0.3,0.2
2017,June,Agbor,14,2,2,3,22,11,1,1,2,0,3,9.1,0.2,0.7
2017,June,Agenebode,22,3,2,2,32,17,1,1,2,3,4,16.5,0.2,0.8
2017,June,Ehor,18,2,1,1,25,14,1,1,0,2,3,44.8,0.3,0.7
2017,June,Ubiaja,20,0,1,0,22,16,0,0,0,1,4,17.8,0.5,1
2017,June,Uzebba,20,1,1,0,24,16,0,0,0,0,4,9.3,0.2,0.8
2017,July,Agbor,12,5,1,5,27,9,2,2,5,2,2,25.3,7200,0.9
2017,July,Agenebode,10,9,1,3,26,8,4,4,3,2,2,28.7,3600,0.8
2017,July,Ehor,12,8,1,0,22,9,4,4,0,1,2,3.3,0.2,0.6
2017,July,Ubiaja,17,8,1,0,32,14,4,4,0,3,3,7.5,0.2,0.8
